Название фильма,Страны,Режиссер,Жанр,Год
Аварийный выход (фильм),Польша,Роман Залуски,комедия,1982
Авария — дочь мента,СССР,Михаил Туманишвили,драма,1989
"Авария (фильм, 1965)",СССР,Александр АбрамовНаум Бирман,Детектив,1965
"Авария (фильм, 1974)",СССР,Витаутас Жалакявичюс,детективдрама,1974
"Авария (фильм, 1976)",Румыния,Серджиу Николаеску,боевик,1976
"Авария (фильм, 1990)",ЮАР США Заир,Джеймс Аллен,детектив,1990
"Авария (фильм, 1997)",США,Джонатан Мостоу,триллер,1997
"Аватар (фильм, 1916)",Королевство Италия,Кармине Галлоне,мистическая драма,1916
"Аватар (фильм, 2009)",США[3][9][10] Великобритания[3],Джеймс Кэмерон,эпический фильмнаучная фантастикабоевик[1]драмаприключения[1],2009
Аватар 3,США,Джеймс Кэмерон,эпический фильмнаучная фантастикабоевикприключенияфэнтези,2025
Аватар 4,США,Джеймс Кэмерон,эпический фильмнаучная фантастикабоевикприключенияфэнтези,2029
Аватар 5,США,Джеймс Кэмерон,эпический фильмнаучная фантастикабоевикприключенияфэнтези,2031
